vehicle_id,make,model,year,vehicle_type,capacity_kg,purchase_date,current_mileage_km,fuel_efficiency_km_l,annual_maintenance_cost,driver_performance_score,vechicle_age,cost_per_km,monthly_milegade,vechicle_age_month,monthlt_milegade,Efficiency category,vehicle_age_years,vehicle_age_months,monthly_mileage,efficiency_category,replacement_action,km_per_year
Veh1141,Ford,Modele,2016,Truck,10765,2022-05-14,450641,3.9,2971.04,74,42,0.0066,894.129,504,894.1289682539683,Low,3.59,43.1,10455.71,Low,Keep,125468.49
Veh1142,Volvo,Modela,2011,Truck,2828,2019-05-21,838459,3.0,3209.25,83,78,0.0038,895.7895,936,895.7895299145299,Low,6.57,78.8,10640.34,Low,Keep,127684.11
Veh1143,Mercedes,Modeld,2010,Truck,2917,2018-01-09,780526,3.8,4007.55,97,94,0.0051,691.9557,1128,691.9556737588653,Low,7.93,95.2,8198.8,Low,Keep,98385.63
Veh1144,Ford,Modela,2021,Van,7988,2022-10-12,102787,10.0,1172.92,94,37,0.0114,231.5023,444,231.50225225225225,Low,3.18,38.2,2690.76,Low,Keep,32289.11
Veh1145,Isuzu,Modele,2020,Van,19410,2020-11-07,103688,11.1,1131.92,89,60,0.0109,144.0111,720,144.01111111111112,Medium,5.1,61.2,1694.25,Medium,Keep,20330.98
Veh1146,Isuzu,Modeld,2013,Car,15594,2022-07-15,229721,15.8,929.97,90,40,0.004,478.5854,480,478.5854166666667,High,3.42,41.0,5602.95,High,Keep,67235.41
Veh1147,Scania,Modele,2017,Car,13977,2022-09-10,140321,12.3,961.77,64,38,0.0069,307.7215,456,307.7214912280702,Medium,3.26,39.1,3588.77,Medium,Keep,43065.27
Veh1148,Man,Modelc,2021,Van,1009,2021-04-12,84118,9.9,1129.1,73,55,0.0134,127.4515,660,127.45151515151515,Low,4.68,56.2,1496.76,Low,Keep,17961.14
Veh1149,Toyota,Modeld,2011,Car,17644,2013-12-23,198515,15.8,1330.71,70,143,0.0067,115.6847,1716,115.68473193473191,High,11.98,143.8,1380.49,High,Keep,16565.92
Veh1150,Volvo,Modelc,2012,Car,10865,2016-06-23,307111,15.0,1159.28,68,113,0.0038,226.483,1356,226.4830383480826,Medium,9.48,113.8,2698.69,Medium,Keep,32384.29
Veh1151,Scania,Modela,2021,Truck,3219,2021-04-07,198329,5.1,2395.83,93,55,0.0121,300.4985,660,300.49848484848485,Low,4.69,56.3,3522.72,Low,Keep,42272.61
Veh1152,Toyota,Modela,2010,Truck,8041,2021-03-22,686936,4.5,3827.86,71,56,0.0056,1022.2262,672,1022.2261904761904,Low,4.73,56.8,12093.94,Low,Keep,145127.32
Veh1153,Toyota,Modeld,2010,Truck,19444,2021-06-09,893671,3.0,3841.41,94,53,0.0043,1405.1431,636,1405.1430817610062,Low,4.52,54.2,16488.39,Low,Keep,197860.74
Veh1154,Ford,Modeld,2022,Truck,6287,2022-09-30,238278,2.7,2243.79,94,38,0.0094,522.5395,456,522.5394736842105,Low,3.21,38.5,6189.04,Low,Keep,74268.47
Veh1155,Toyota,Modele,2012,Truck,2619,2020-07-17,645868,4.4,3316.81,60,64,0.0051,840.974,768,840.9739583333334,Low,5.41,64.9,9951.74,Low,Keep,119420.89
Veh1156,Man,Modele,2020,Truck,9512,2020-07-14,334427,2.6,1920.61,99,64,0.0057,435.4518,768,435.4518229166667,Low,5.42,65.0,5145.03,Low,Keep,61740.37
Veh1157,Isuzu,Modelc,2014,Car,2342,2022-01-07,235667,15.5,852.09,81,46,0.0036,426.933,552,426.9329710144928,High,3.94,47.3,4982.39,High,Keep,59788.67
Veh1158,Scania,Modeld,2021,Car,11568,2023-10-08,54258,17.6,771.44,88,25,0.0142,180.86,300,180.86,High,2.19,26.3,2063.04,High,Keep,24756.5
Veh1159,Toyota,Modela,2012,Truck,19378,2018-05-21,898672,4.2,3616.03,67,90,0.004,832.1037,1080,832.1037037037037,Low,7.57,90.8,9897.27,Low,Keep,118767.22
Veh1160,Ford,Modele,2010,Truck,15231,2020-07-16,820669,3.7,4056.12,70,64,0.0049,1068.5794,768,1068.5794270833333,Low,5.42,65.0,12625.68,Low,Keep,151508.12
Veh1161,Man,Modele,2010,Truck,4490,2021-11-22,979383,4.4,3319.45,96,48,0.0034,1700.3177,576,1700.3177083333333,Low,4.06,48.7,20110.53,Low,Keep,241326.41
Veh1162,Mercedes,Modela,2017,Van,10310,2017-01-20,261364,10.3,1230.55,73,106,0.0047,205.4748,1272,205.4748427672956,Medium,8.9,106.8,2447.23,Medium,Keep,29366.74
Veh1163,Isuzu,Modele,2019,Van,8984,2019-09-09,184292,10.7,1031.45,89,74,0.0056,207.536,888,207.536036036036,Medium,6.27,75.2,2450.69,Medium,Keep,29408.3
Veh1164,Isuzu,Modelc,2020,Car,18988,2020-08-04,56771,17.6,705.18,94,63,0.0124,75.0939,756,75.09391534391534,High,5.36,64.3,882.91,High,Keep,10594.9
Veh1165,Scania,Modeld,2021,Truck,13219,2021-09-29,293648,3.7,2175.53,80,50,0.0074,489.4133,600,489.41333333333336,Low,4.21,50.5,5814.81,Low,Keep,69777.74
Veh1166,Isuzu,Modela,2022,Car,1235,2023-01-21,44435,17.8,621.98,96,34,0.014,108.9093,408,108.9093137254902,High,2.9,34.8,1276.87,High,Keep,15322.41
Veh1167,Toyota,Modeld,2022,Trailer,11161,2023-08-31,142382,5.2,1901.23,64,27,0.0134,439.4506,324,439.4506172839506,Low,2.29,27.5,5177.53,Low,Keep,62130.33
Veh1168,Ford,Modele,2021,Truck,2908,2021-02-02,166524,3.1,2439.49,78,57,0.0146,243.4561,684,243.4561403508772,Low,4.87,58.4,2851.44,Low,Keep,34217.26
Veh1169,Isuzu,Modele,2024,Car,9567,2024-01-09,18863,12.4,516.62,73,22,0.0274,71.4508,264,71.45075757575758,Medium,1.93,23.2,813.06,Medium,Keep,9756.72
Veh1170,Isuzu,Modela,2023,Van,4530,2023-05-28,67102,8.5,965.37,85,30,0.0144,186.3944,360,186.39444444444445,Low,2.55,30.6,2192.88,Low,Keep,26314.51
Veh1171,Mercedes,Modelc,2011,Van,6256,2017-10-20,284644,8.1,2137.85,63,97,0.0075,244.5395,1164,244.53951890034364,Low,8.15,97.8,2910.47,Low,Keep,34925.64
Veh1172,Mercedes,Modelb,2022,Van,9162,2022-10-01,90725,8.5,996.96,84,37,0.011,204.3356,444,204.3355855855856,Low,3.21,38.5,2356.49,Low,Keep,28277.92
Veh1173,Volvo,Modela,2012,Car,19944,2015-04-17,174166,16.1,1206.16,84,127,0.0069,114.2822,1524,114.28215223097114,High,10.66,127.9,1361.74,High,Keep,16340.83
Veh1174,Man,Modelb,2011,Van,6415,2021-03-10,460648,8.4,2198.3,77,56,0.0048,685.4881,672,685.4880952380952,Low,4.77,57.2,8053.29,Low,Keep,96639.44
Veh1175,Toyota,Modelb,2012,Car,4391,2021-07-06,164001,13.9,1356.78,99,52,0.0083,262.8221,624,262.82211538461536,Medium,4.44,53.3,3076.94,Medium,Keep,36923.3
Veh1176,Isuzu,Modelc,2016,Car,12157,2020-10-20,183276,17.1,815.89,67,61,0.0045,250.377,732,250.37704918032787,High,5.15,61.8,2965.63,High,Keep,35587.57
Veh1177,Isuzu,Modelb,2010,Van,6951,2014-06-09,416020,8.1,2341.27,98,137,0.0056,253.0535,1644,253.05352798053528,Low,11.52,138.2,3010.27,Low,Review for Disposal,36123.3
Veh1178,Ford,Modelb,2019,Trailer,9007,2021-12-13,464815,4.9,2392.43,99,47,0.0051,824.1401,564,824.1400709219859,Low,4.01,48.1,9663.51,Low,Keep,115962.16
Veh1179,Volvo,Modelc,2017,Van,10064,2023-06-07,182003,9.4,1300.75,73,29,0.0071,522.9971,348,522.9971264367816,Low,2.52,30.2,6026.59,Low,Keep,72319.07
Veh1180,Man,Modelb,2022,Van,16524,2022-11-25,80463,8.6,1023.0,91,36,0.0127,186.2569,432,186.25694444444449,Low,3.06,36.7,2192.45,Low,Keep,26309.43
Veh1181,Volvo,Modelb,2019,Van,1077,2019-12-04,133616,11.5,1525.78,97,71,0.0114,156.8263,852,156.8262910798122,Medium,6.03,72.4,1845.52,Medium,Keep,22146.3
Veh1182,Scania,Modelb,2019,Truck,8577,2020-11-10,461926,4.4,2392.91,92,60,0.0052,641.5639,720,641.5638888888889,Low,5.1,61.2,7547.81,Low,Keep,90573.73
Veh1183,Man,Modela,2019,Car,17984,2019-02-11,138960,17.3,745.2,82,81,0.0054,142.963,972,142.96296296296296,High,6.84,82.1,1692.57,High,Keep,20310.84
Veh1184,Isuzu,Modela,2023,Van,15060,2023-01-18,50317,11.7,1011.23,74,34,0.0201,123.326,408,123.32598039215686,Medium,2.91,34.9,1441.75,Medium,Keep,17300.97
Veh1185,Isuzu,Modela,2011,Van,18449,2016-09-10,464795,12.0,1720.43,92,110,0.0037,352.1174,1320,352.11742424242425,Medium,9.26,111.1,4183.57,Medium,Keep,50202.88
Veh1186,Man,Modelc,2012,Car,19520,2022-12-10,289358,13.7,954.9,84,35,0.0033,688.9476,420,688.947619047619,Medium,3.01,36.1,8015.46,Medium,Keep,96185.48
Veh1187,Isuzu,Modele,2018,Truck,11535,2018-12-05,435456,3.0,2171.46,76,83,0.005,437.2048,996,437.2048192771084,Low,7.03,84.4,5159.43,Low,Keep,61913.18
Veh1188,Toyota,Modelb,2016,Van,10510,2019-01-07,275337,11.8,1293.85,92,82,0.0047,279.814,984,279.8140243902439,Medium,6.94,83.3,3305.37,Medium,Keep,39664.39
Veh1189,Man,Modelb,2013,Van,7943,2015-01-15,298044,12.0,1514.94,61,130,0.0051,191.0538,1560,191.05384615384617,Medium,10.92,131.0,2275.15,Medium,Keep,27301.74
Veh1190,Volvo,Modelc,2019,Car,12954,2021-02-15,68379,17.9,684.42,73,57,0.01,99.9693,684,99.96929824561404,High,4.83,58.0,1178.95,High,Keep,14147.38
Veh1191,Man,Modelb,2014,Van,8804,2017-08-22,417387,10.1,1774.67,99,99,0.0043,351.3359,1188,351.3358585858586,Medium,8.31,99.7,4186.43,Medium,Keep,50237.15
Veh1192,Isuzu,Modela,2011,Car,7565,2017-01-14,329087,14.2,1047.3,99,106,0.0032,258.7162,1272,258.71619496855345,Medium,8.92,107.0,3075.58,Medium,Keep,36906.95
Veh1193,Toyota,Modele,2022,Car,6984,2022-03-25,58489,16.7,609.87,98,44,0.0104,110.7746,528,110.77462121212122,High,3.73,44.8,1305.56,High,Keep,15666.7
Veh1194,Toyota,Modeld,2020,Truck,5670,2021-11-09,267805,3.5,2607.11,65,48,0.0097,464.9392,576,464.9392361111111,Low,4.1,49.2,5443.19,Low,Keep,65318.29
Veh1195,Scania,Modelb,2022,Truck,19574,2022-07-22,161905,5.3,1929.69,65,40,0.0119,337.3021,480,337.3020833333333,Low,3.4,40.8,3968.26,Low,Keep,47619.12
Veh1196,Volvo,Modela,2017,Van,10184,2018-02-21,276152,12.3,1536.51,62,93,0.0056,247.448,1116,247.44802867383515,Medium,7.81,93.7,2947.19,Medium,Keep,35366.32
Veh1197,Mercedes,Modeld,2013,Truck,3192,2016-05-24,910612,3.8,2867.46,66,114,0.0031,665.652,1368,665.6520467836257,Low,9.56,114.7,7939.08,Low,Keep,95268.91
Veh1198,Mercedes,Modele,2018,Truck,2248,2018-06-13,528384,4.8,2236.13,67,89,0.0042,494.7416,1068,494.7415730337079,Low,7.51,90.1,5864.42,Low,Keep,70373.01
Veh1199,Man,Modeld,2014,Van,12246,2014-08-04,391572,11.8,1371.46,74,135,0.0035,241.7111,1620,241.7111111111111,Medium,11.36,136.3,2872.87,Medium,Keep,34474.42
